region,date,primary,secondary,mean,sd,median,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2021-05-22,255,32,,,,,,,,,
Alabama,2021-05-23,196,0,,,,,,,,,
Alabama,2021-05-24,132,0,,,,,,,,,
Alabama,2021-05-25,306,12,,,,,,,,,
Alabama,2021-05-26,269,14,,,,,,,,,
Alabama,2021-05-27,346,2,,,,,,,,,
Alabama,2021-05-28,228,6,,,,,,,,,
Alabama,2021-05-29,0,0,,,,,,,,,
Alabama,2021-05-30,0,0,,,,,,,,,
Alabama,2021-05-31,0,0,,,,,,,,,
Alabama,2021-06-01,640,10,,,,,,,,,
Alabama,2021-06-02,553,11,,,,,,,,,
Alabama,2021-06-03,430,21,,,,,,,,,
Alabama,2021-06-04,557,10,,,,,,,,,
Alabama,2021-06-05,0,0,,,,,,,,,
Alabama,2021-06-06,0,0,,,,,,,,,
Alabama,2021-06-07,739,19,,,,,,,,,
Alabama,2021-06-08,216,3,,,,,,,,,
Alabama,2021-06-09,305,29,,,,,,,,,
Alabama,2021-06-10,290,3,,,,,,,,,
Alabama,2021-06-11,188,14,,,,,,,,,
Alabama,2021-06-12,0,0,,,,,,,,,
Alabama,2021-06-13,0,0,,,,,,,,,
Alabama,2021-06-14,550,8,,,,,,,,,
Alabama,2021-06-15,290,7,,,,,,,,,
Alabama,2021-06-16,160,7,,,,,,,,,
Alabama,2021-06-17,0,0,,,,,,,,,
Alabama,2021-06-18,334,18,,,,,,,,,
Alabama,2021-06-19,0,0,,,,,,,,,
Alabama,2021-06-20,0,0,,,,,,,,,
Alabama,2021-06-21,356,5,,,,,,,,,
Alabama,2021-06-22,0,0,,,,,,,,,
Alabama,2021-06-23,381,17,,,,,,,,,
Alabama,2021-06-24,0,0,,,,,,,,,
Alabama,2021-06-25,540,8,,,,,,,,,
Alabama,2021-06-26,0,0,,,,,,,,,
Alabama,2021-06-27,0,0,,,,,,,,,
Alabama,2021-06-28,517,2,,,,,,,,,
Alabama,2021-06-29,0,0,,,,,,,,,
Alabama,2021-06-30,532,14,,,,,,,,,
Alabama,2021-07-01,0,0,,,,,,,,,
Alabama,2021-07-02,315,6,,,,,,,,,
Alabama,2021-07-03,0,0,,,,,,,,,
Alabama,2021-07-04,0,0,,,,,,,,,
Alabama,2021-07-05,0,0,,,,,,,,,
Alabama,2021-07-06,0,0,,,,,,,,,
Alabama,2021-07-07,1613,29,,,,,,,,,
Alabama,2021-07-08,0,0,,,,,,,,,
Alabama,2021-07-09,1160,11,,,,,,,,,
Alabama,2021-07-10,534,4,,,,,,,,,
Alabama,2021-07-11,0,0,,,,,,,,,
Alabama,2021-07-12,610,0,,,,,,,,,
Alabama,2021-07-13,0,0,,,,,,,,,
Alabama,2021-07-14,1398,26,,,,,,,,,
Alabama,2021-07-15,965,11,,,,,,,,,
Alabama,2021-07-16,999,3,,,,,,,,,
Alabama,2021-07-17,901,1,,,,,,,,,
Alabama,2021-07-18,89,,1,2.7,0,0,0,0,0,1,5
Alabama,2021-07-19,655,,2.9,5.1,1,0,0,1,2,3,12
